age,income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_term,dti_ratio,default
59,21560,18146,677,75,7,12.910476212976107,48,0.4645067106464843,0
49,99148,18654,448,35,3,20.646158787368016,48,0.3098361460786342,0
35,103186,40820,732,117,1,6.542019606942963,48,0.5906885521630975,0
63,46745,5726,768,84,10,24.090869613124163,36,0.27474259115405053,0
28,51890,8760,745,48,9,11.166159124882162,36,0.5608637102655329,0
41,40022,27190,780,110,6,10.18531674124619,48,0.5664812742835398,0
59,143629,6875,593,69,5,22.178630376321234,60,0.22092647353237307,0
39,72579,28377,442,111,13,15.187008217564747,36,0.49911059079400666,1
43,90316,9033,549,48,9,14.119997692813484,24,0.3165372525722826,0
31,103847,43211,601,2,4,18.857003189389697,36,0.5587623636151741,0
31,48380,22373,324,73,10,15.546270361324533,60,0.3250621363176194,1
44,130198,8744,369,4,0,6.1566020070350955,12,0.47215185866868303,0
56,22356,29995,411,109,1,17.669446514460915,36,0.3334837045818989,1
60,90326,21977,663,89,7,5.5030497838478905,48,0.2139003778564281,0
44,112447,37402,602,60,0,20.631798370016394,48,0.19967506447234315,0
23,134994,39542,770,84,2,24.769073448526097,48,0.31271559712817276,0
42,109899,15651,390,108,1,10.991221561932466,12,0.47774732850710744,0
22,40049,38703,829,89,4,12.507007709545283,60,0.4025357425903834,0
44,95717,18395,491,101,3,3.544757248363277,24,0.4443146449502716,0
64,125361,34808,541,107,12,2.8089967318580116,60,0.24116317536597123,0
50,36082,41576,437,25,6,23.231935034717374,12,0.34071767297880273,1
58,20661,21715,644,71,4,5.394041359881822,48,0.1221976324846635,0
22,57412,49409,479,4,7,12.530021820088082,60,0.5087662079790604,1
41,134015,29306,802,14,3,20.84547903675013,24,0.5949460811199373,0
53,143191,24086,502,15,14,22.50967209838719,48,0.3034395313123355,0
32,22920,19376,491,0,11,14.186447918878022,24,0.10548182656577168,0
42,111194,10889,304,15,5,15.21323181195887,36,0.1848963197754737,0
64,134306,42822,536,36,3,17.56788938042363,24,0.42626343887520945,0
45,80315,41636,610,2,1,24.131105578233594,48,0.40603965910192963,0
69,99561,25584,848,51,0,16.060074121251365,36,0.49393235979277195,0
47,28946,39610,355,46,13,15.088193337767791,48,0.2269420054805341,1
62,114242,15058,742,94,13,2.8270180434847902,48,0.481815957773567,0
48,65500,14101,536,12,0,4.321368295503012,36,0.4439920107618349,0
36,124540,17497,496,119,7,15.486361599039915,24,0.2614072488569217,0
35,36309,9658,813,79,13,23.56540872566207,12,0.372744074028481,0
67,75230,16381,748,54,3,22.000555338986388,12,0.17363690424916337,0
64,131822,45312,659,106,4,24.608025767324605,12,0.32628225171779135,0
23,118656,45486,329,20,10,14.376265845128666,12,0.5405986697778205,1
57,143782,22154,407,65,7,20.228446114849753,60,0.31059568991269537,0
27,50027,24539,744,53,11,21.40900745851016,12,0.519783353237711,0
41,146768,16777,737,26,14,17.08071228994439,36,0.3951266826298472,0
29,92541,39396,756,37,6,10.121872844826413,12,0.1959383565511784,0
59,132340,35373,794,89,12,13.074514779800374,48,0.39055312234894823,0
38,134846,38154,546,57,7,21.803134125480273,12,0.3529916645785317,0
24,79321,11031,842,61,12,9.217328334598688,24,0.299320667598192,0
45,20956,32997,738,101,7,23.284220453499593,36,0.15981521975803517,1
34,120375,11439,577,45,5,7.670642682009965,36,0.30835433192361494,0
29,94131,27785,410,88,9,19.364119341027564,60,0.13638118811981356,0
46,67908,18392,684,10,1,16.687582772779113,48,0.14938452569937563,0
22,98339,33669,490,71,5,19.365987425217153,36,0.30795826646635804,0
40,145659,33939,789,7,13,12.340320379733383,24,0.25269074098423183,0
48,45963,7282,725,96,0,23.484423907464652,12,0.5627721629311118,0
67,121757,39624,704,116,0,16.73062455425824,36,0.2878529026901353,0
27,59443,29364,634,70,10,8.986655602470766,24,0.47892906103605004,0
64,119259,6998,508,63,2,16.86523908967323,12,0.36512376318312134,0
28,59063,36705,321,101,2,8.9533543121582,60,0.45204283432116776,1
67,134225,43244,507,20,10,9.106728814597169,36,0.2300579915076996,0
55,136400,14428,307,71,12,11.490966511469528,36,0.5709524864191645,0
34,100818,42437,828,114,4,21.679684395305177,24,0.36504424845721195,0
37,24703,17336,465,117,0,13.75670217386482,48,0.5156620356426248,1
56,85128,14342,795,62,9,17.775268950179665,60,0.2825228467380567,0
60,92099,44832,728,84,5,11.319274156175418,48,0.15010567452526227,0
24,45849,12446,462,63,6,8.431122395654832,36,0.43685582386042443,0
22,51860,43392,665,119,9,23.979403616115206,48,0.10387982416871225,0
26,51585,12461,825,19,11,16.08057806026891,12,0.3376464882827541,0
62,42015,39587,538,7,12,23.51390511811116,60,0.19640095133322963,0
24,97539,15516,371,57,10,7.0767925494620885,48,0.41368775221768106,0
49,63585,18749,744,45,2,5.805118688040987,12,0.5897099365689261,0
38,46958,22514,808,30,3,21.75601541028783,24,0.332201453160323,0
46,46017,40426,568,113,9,17.82063728388816,48,0.5087491282628334,1
64,96707,41268,714,92,10,6.69801623320693,60,0.3538920934755605,0
54,144677,29950,544,111,9,8.5605932649296,12,0.347920015552012,0
30,65350,39888,359,8,13,20.514938684319503,48,0.5652117465893889,1
56,32201,41788,305,14,11,12.712043949908562,24,0.5449829343733408,1
34,49426,15213,706,93,14,17.587161396387046,48,0.4929002325939872,0
51,37778,41027,516,25,9,9.662920498060245,12,0.24812787665839206,1
68,65241,33011,325,9,13,11.077673937434726,48,0.37250420786197025,1
35,62229,47849,304,28,9,24.791032569019862,60,0.2119486166528425,1
28,106652,39591,831,117,9,8.071384461431167,36,0.3219583490232699,0
34,148267,22858,689,79,2,13.895268483321566,12,0.34210653287989534,0
